="Basic Regression Results"
="",="(1)",="(2)",="(3)",="(4)"
="",="Flexsum",="Flexsum",="Flexsum",="Flexsum"
="tp",="0.2003***",="0.0266*",="0.0489***",="0.0234**"
="",="(0.0078)",="(0.0139)",="(0.0063)",="(0.0117)"
="date=2015",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="date=2016",="",="0.0785***",="",="0.0005"
="",="",="(0.0286)",="",="(0.0273)"
="date=2017",="",="0.0951***",="",="-0.0208"
="",="",="(0.0301)",="",="(0.0266)"
="date=2018",="",="0.0865**",="",="-0.0497*"
="",="",="(0.0348)",="",="(0.0297)"
="date=2019",="",="0.2160***",="",="0.0462"
="",="",="(0.0319)",="",="(0.0306)"
="date=2020",="",="0.2391***",="",="0.0321"
="",="",="(0.0364)",="",="(0.0323)"
="date=2021",="",="0.3415***",="",="0.0994**"
="",="",="(0.0441)",="",="(0.0400)"
="date=2022",="",="0.3300***",="",="0.0665*"
="",="",="(0.0428)",="",="(0.0391)"
="date=2023",="",="0.3507***",="",="0.0682*"
="",="",="(0.0429)",="",="(0.0400)"
="上海",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="云南省",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="内蒙古自治区",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="北京",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="吉林省",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="四川省",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="天津",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="宁夏回族自治区",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="安徽省",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="山东省",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="山西省",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="广东省",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="广西壮族自治区",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="新疆维吾尔自治区",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="江苏省",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="江西省",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="河北省",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="河南省",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="浙江省",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="海南省",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="湖北省",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="湖南省",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="甘肃省",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="福建省",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="西藏自治区",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="贵州省",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="辽宁省",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="重庆",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="陕西省",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="青海省",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="黑龙江省",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="上海 # date=2015",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="上海 # date=2016",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="上海 # date=2017",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="上海 # date=2018",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="上海 # date=2019",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="上海 # date=2020",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="上海 # date=2021",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="上海 # date=2022",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="上海 # date=2023",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="云南省 # date=2015",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="云南省 # date=2016",="",="-0.1456",="",="-0.0898"
="",="",="(0.0920)",="",="(0.0993)"
="云南省 # date=2017",="",="-0.2658**",="",="-0.1987"
="",="",="(0.1244)",="",="(0.1314)"
="云南省 # date=2018",="",="-0.2479",="",="-0.1618"
="",="",="(0.1511)",="",="(0.1507)"
="云南省 # date=2019",="",="-0.2181",="",="-0.1500"
="",="",="(0.1491)",="",="(0.1466)"
="云南省 # date=2020",="",="-0.2043",="",="-0.1210"
="",="",="(0.1249)",="",="(0.1203)"
="云南省 # date=2021",="",="-0.3157**",="",="-0.2631*"
="",="",="(0.1360)",="",="(0.1467)"
="云南省 # date=2022",="",="-0.2753",="",="-0.1975"
="",="",="(0.1706)",="",="(0.1680)"
="云南省 # date=2023",="",="-0.2390",="",="-0.1344"
="",="",="(0.1728)",="",="(0.1700)"
="内蒙古自治区 # date=2015",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="内蒙古自治区 # date=2016",="",="-0.0724",="",="-0.0156"
="",="",="(0.1068)",="",="(0.0869)"
="内蒙古自治区 # date=2017",="",="-0.0149",="",="0.0074"
="",="",="(0.1662)",="",="(0.1264)"
="内蒙古自治区 # date=2018",="",="0.2350",="",="0.2252*"
="",="",="(0.1471)",="",="(0.1149)"
="内蒙古自治区 # date=2019",="",="0.0702",="",="0.0614"
="",="",="(0.1895)",="",="(0.1559)"
="内蒙古自治区 # date=2020",="",="0.1145",="",="0.1191"
="",="",="(0.1973)",="",="(0.1522)"
="内蒙古自治区 # date=2021",="",="0.0617",="",="0.0421"
="",="",="(0.1613)",="",="(0.1181)"
="内蒙古自治区 # date=2022",="",="0.1528",="",="0.1384"
="",="",="(0.1929)",="",="(0.1465)"
="内蒙古自治区 # date=2023",="",="0.3322",="",="0.2919*"
="",="",="(0.2094)",="",="(0.1529)"
="北京 # date=2015",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="北京 # date=2016",="",="0.0207",="",="0.0092"
="",="",="(0.0403)",="",="(0.0372)"
="北京 # date=2017",="",="-0.0267",="",="-0.0481"
="",="",="(0.0467)",="",="(0.0415)"
="北京 # date=2018",="",="0.0100",="",="-0.0112"
="",="",="(0.0480)",="",="(0.0407)"
="北京 # date=2019",="",="-0.0342",="",="-0.0509"
="",="",="(0.0488)",="",="(0.0440)"
="北京 # date=2020",="",="0.0392",="",="0.0260"
="",="",="(0.0541)",="",="(0.0472)"
="北京 # date=2021",="",="-0.0325",="",="-0.0312"
="",="",="(0.0597)",="",="(0.0523)"
="北京 # date=2022",="",="-0.0486",="",="-0.0549"
="",="",="(0.0581)",="",="(0.0496)"
="北京 # date=2023",="",="-0.0223",="",="-0.0351"
="",="",="(0.0591)",="",="(0.0524)"
="吉林省 # date=2015",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="吉林省 # date=2016",="",="-0.0028",="",="0.0216"
="",="",="(0.0944)",="",="(0.0846)"
="吉林省 # date=2017",="",="-0.0401",="",="-0.0010"
="",="",="(0.0806)",="",="(0.0701)"
="吉林省 # date=2018",="",="-0.0058",="",="0.0251"
="",="",="(0.0945)",="",="(0.0846)"
="吉林省 # date=2019",="",="-0.0438",="",="-0.0056"
="",="",="(0.1029)",="",="(0.0873)"
="吉林省 # date=2020",="",="-0.0254",="",="-0.0043"
="",="",="(0.1231)",="",="(0.0983)"
="吉林省 # date=2021",="",="-0.1619",="",="-0.1264"
="",="",="(0.1398)",="",="(0.1106)"
="吉林省 # date=2022",="",="-0.0852",="",="-0.0678"
="",="",="(0.1554)",="",="(0.1178)"
="吉林省 # date=2023",="",="-0.1840",="",="-0.1699"
="",="",="(0.1434)",="",="(0.1064)"
="四川省 # date=2015",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="四川省 # date=2016",="",="-0.0533",="",="-0.0211"
="",="",="(0.0552)",="",="(0.0555)"
="四川省 # date=2017",="",="-0.0529",="",="-0.0264"
="",="",="(0.0542)",="",="(0.0560)"
="四川省 # date=2018",="",="0.0211",="",="0.0425"
="",="",="(0.0676)",="",="(0.0675)"
="四川省 # date=2019",="",="-0.0621",="",="-0.0426"
="",="",="(0.0733)",="",="(0.0756)"
="四川省 # date=2020",="",="-0.0499",="",="-0.0302"
="",="",="(0.0707)",="",="(0.0720)"
="四川省 # date=2021",="",="-0.0943",="",="-0.0885"
="",="",="(0.0760)",="",="(0.0740)"
="四川省 # date=2022",="",="-0.0477",="",="-0.0699"
="",="",="(0.0750)",="",="(0.0719)"
="四川省 # date=2023",="",="0.0073",="",="-0.0344"
="",="",="(0.0840)",="",="(0.0751)"
="天津 # date=2015",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="天津 # date=2016",="",="-0.0031",="",="0.0154"
="",="",="(0.0786)",="",="(0.0526)"
="天津 # date=2017",="",="-0.1004",="",="-0.0993"
="",="",="(0.0866)",="",="(0.0915)"
="天津 # date=2018",="",="-0.0346",="",="-0.0291"
="",="",="(0.0967)",="",="(0.0827)"
="天津 # date=2019",="",="-0.0814",="",="-0.0786"
="",="",="(0.0833)",="",="(0.0689)"
="天津 # date=2020",="",="-0.0428",="",="0.0119"
="",="",="(0.0990)",="",="(0.0912)"
="天津 # date=2021",="",="-0.0636",="",="0.0458"
="",="",="(0.0914)",="",="(0.0803)"
="天津 # date=2022",="",="-0.0580",="",="0.0415"
="",="",="(0.0806)",="",="(0.0658)"
="天津 # date=2023",="",="-0.1001",="",="0.0095"
="",="",="(0.1161)",="",="(0.0943)"
="宁夏回族自治区 # date=2015",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="宁夏回族自治区 # date=2016",="",="0.0920",="",="0.1078"
="",="",="(0.1000)",="",="(0.0898)"
="宁夏回族自治区 # date=2017",="",="-0.0124",="",="0.0556"
="",="",="(0.0413)",="",="(0.0468)"
="宁夏回族自治区 # date=2018",="",="-0.4640**",="",="-0.3575"
="",="",="(0.2148)",="",="(0.2266)"
="宁夏回族自治区 # date=2019",="",="-0.1425*",="",="-0.0325"
="",="",="(0.0762)",="",="(0.0406)"
="宁夏回族自治区 # date=2020",="",="-0.2287***",="",="-0.0854"
="",="",="(0.0559)",="",="(0.0541)"
="宁夏回族自治区 # date=2021",="",="-0.3173**",="",="-0.1520"
="",="",="(0.1296)",="",="(0.1938)"
="宁夏回族自治区 # date=2022",="",="-0.7303***",="",="-0.4600***"
="",="",="(0.0565)",="",="(0.0417)"
="宁夏回族自治区 # date=2023",="",="-0.3724*",="",="-0.2075"
="",="",="(0.1913)",="",="(0.1447)"
="安徽省 # date=2015",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="安徽省 # date=2016",="",="-0.0545",="",="-0.0356"
="",="",="(0.0557)",="",="(0.0525)"
="安徽省 # date=2017",="",="-0.0704",="",="-0.0571"
="",="",="(0.0637)",="",="(0.0547)"
="安徽省 # date=2018",="",="-0.0330",="",="-0.0741"
="",="",="(0.0846)",="",="(0.0667)"
="安徽省 # date=2019",="",="0.0159",="",="-0.0250"
="",="",="(0.0752)",="",="(0.0573)"
="安徽省 # date=2020",="",="0.0178",="",="-0.0159"
="",="",="(0.0803)",="",="(0.0663)"
="安徽省 # date=2021",="",="-0.0043",="",="-0.0703"
="",="",="(0.0911)",="",="(0.0762)"
="安徽省 # date=2022",="",="0.0711",="",="-0.0343"
="",="",="(0.0841)",="",="(0.0694)"
="安徽省 # date=2023",="",="0.0601",="",="-0.0479"
="",="",="(0.0960)",="",="(0.0709)"
="山东省 # date=2015",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="山东省 # date=2016",="",="-0.0483",="",="-0.0238"
="",="",="(0.0384)",="",="(0.0361)"
="山东省 # date=2017",="",="-0.0185",="",="-0.0059"
="",="",="(0.0448)",="",="(0.0395)"
="山东省 # date=2018",="",="0.0093",="",="0.0112"
="",="",="(0.0475)",="",="(0.0405)"
="山东省 # date=2019",="",="-0.0187",="",="-0.0047"
="",="",="(0.0471)",="",="(0.0447)"
="山东省 # date=2020",="",="0.0358",="",="0.0519"
="",="",="(0.0501)",="",="(0.0465)"
="山东省 # date=2021",="",="-0.0664",="",="-0.0434"
="",="",="(0.0600)",="",="(0.0533)"
="山东省 # date=2022",="",="-0.0452",="",="-0.0330"
="",="",="(0.0622)",="",="(0.0561)"
="山东省 # date=2023",="",="0.0119",="",="0.0276"
="",="",="(0.0544)",="",="(0.0494)"
="山西省 # date=2015",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="山西省 # date=2016",="",="-0.0872",="",="-0.0602"
="",="",="(0.0953)",="",="(0.0797)"
="山西省 # date=2017",="",="-0.1429",="",="-0.0741"
="",="",="(0.1377)",="",="(0.0797)"
="山西省 # date=2018",="",="-0.0412",="",="-0.0514"
="",="",="(0.0887)",="",="(0.0675)"
="山西省 # date=2019",="",="-0.1917*",="",="-0.1547**"
="",="",="(0.1116)",="",="(0.0780)"
="山西省 # date=2020",="",="-0.1139",="",="-0.0746"
="",="",="(0.1582)",="",="(0.1343)"
