="Basic Regression Results"
="",="(1)",="(2)"
="",="Flexsum",="Flexsum"
="tp",="0.0194",="0.0328**"
="",="(0.0185)",="(0.0152)"
="Boardsize",="0.0354",="-0.0463"
="",="(0.0392)",="(0.0391)"
="size",="3.4403***",="3.6181***"
="",="(0.0717)",="(0.1743)"
="indp",="0.1145",="0.0263"
="",="(0.0968)",="(0.0668)"
="dual",="-0.0170",="-0.0158"
="",="(0.0129)",="(0.0102)"
="salegr",="-0.0551***",="-0.0203**"
="",="(0.0130)",="(0.0089)"
="roa",="0.2798*",="0.0096"
="",="(0.1546)",="(0.1326)"
="tobinq",="0.0005",="0.0021"
="",="(0.0062)",="(0.0051)"
="degree",="0.0230**",="0.0000"
="",="(0.0104)",="(.)"
="Constant",="2.2344***",="2.1283***"
="",="(0.1812)",="(0.4326)"
="N",="9565",="8533"
="Adj-R2",="0.7482",="0.8804"
="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
