="Basic Regression Results"
="",="(1)",="(2)"
="",="Flexsum",="Flexsum"
="tp",="0.0190***",="0.0323**"
="",="(0.0064)",="(0.0150)"
="Boardsize",="0.0301*",="-0.0448"
="",="(0.0182)",="(0.0422)"
="size",="3.3998***",="3.6403***"
="",="(0.0272)",="(0.1751)"
="indp",="0.1166*",="0.0505"
="",="(0.0623)",="(0.0663)"
="dual",="-0.0160**",="-0.0135"
="",="(0.0068)",="(0.0104)"
="salegr",="-0.0518***",="-0.0203**"
="",="(0.0091)",="(0.0093)"
="roa",="0.2923***",="0.0362"
="",="(0.0575)",="(0.1331)"
="tobinq",="-0.0002",="0.0011"
="",="(0.0026)",="(0.0061)"
="degree",="0.0236***",="0.0000"
="",="(0.0061)",="(.)"
="Constant",="2.3337***",="2.0632***"
="",="(0.0716)",="(0.4291)"
="N",="8850",="7839"
="Adj-R2",="0.7244",="0.8665"
="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
