="Basic Regression Results"
="",="(1)",="(2)",="(3)",="(4)"
="",="Flexsum",="Flexsum",="Flexsum",="Flexsum"
="tp",="0.1965***",="0.0312***",="0.0513***",="0.0265**"
="",="(0.0092)",="(0.0121)",="(0.0087)",="(0.0114)"
="date=2015",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="date=2016",="",="0.0626***",="",="0.0081"
="",="",="(0.0193)",="",="(0.0250)"
="date=2017",="",="0.0762***",="",="-0.0096"
="",="",="(0.0235)",="",="(0.0247)"
="date=2018",="",="0.0546**",="",="-0.0431"
="",="",="(0.0257)",="",="(0.0282)"
="date=2019",="",="0.1604***",="",="0.0466"
="",="",="(0.0260)",="",="(0.0302)"
="date=2020",="",="0.1953***",="",="0.0484"
="",="",="(0.0276)",="",="(0.0316)"
="date=2021",="",="0.2871***",="",="0.1117***"
="",="",="(0.0332)",="",="(0.0389)"
="date=2022",="",="0.2911***",="",="0.0767**"
="",="",="(0.0332)",="",="(0.0375)"
="date=2023",="",="0.3115***",="",="0.0805**"
="",="",="(0.0335)",="",="(0.0399)"
="上海",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="云南省",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="内蒙古自治区",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="北京",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="吉林省",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="四川省",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="天津",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="宁夏回族自治区",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="安徽省",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="山东省",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="山西省",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="广东省",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="广西壮族自治区",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="新疆维吾尔自治区",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="江苏省",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="江西省",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="河北省",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="河南省",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="浙江省",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="海南省",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="湖北省",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="湖南省",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="甘肃省",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="福建省",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="西藏自治区",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="贵州省",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="辽宁省",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="重庆",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="陕西省",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="青海省",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="黑龙江省",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="上海 # date=2015",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="上海 # date=2016",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="上海 # date=2017",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="上海 # date=2018",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="上海 # date=2019",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="上海 # date=2020",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
