Basic Regression Results,,,,,
,(1),(2),(3),(4),(5)
,Flexsum,Flexsum,Flexsum,Flexsum,Flexsum
size_med_treat,-0.0536**,,,,
,(0.0204),,,,
tp,0.0585***,0.0338*,0.0118,0.0329**,0.0283*
,(0.0191),(0.0179),(0.0168),(0.0144),(0.0150)
degreebac_treat,,-0.0032,,,
,,(0.0262),,,
lev_high_treat,,,0.0390***,,
,,,(0.0127),,
tobinq_high_treat,,,,-0.0030,
,,,,(0.0299),
zscore_high_treat,,,,,0.0674***
,,,,,(0.0226)
N,8547,8547,8547,8547,8547
Adj-R2,0.8805,0.8801,0.8807,0.8802,0.8803
Standard errors in parentheses,,,,,
"=""* p<0.1", ** p<0.05," *** p<0.01""",,,
