Basic Regression Results,,,,
,(1),(2),(3),(4)
,Flexsum,Flexsum,Flexsum,Flexsum
tp,-0.0222*,-0.0222,0.0219**,0.0246*
,(0.0117),(0.0205),(0.0111),(0.0128)
Boardsize,0.0299,0.0299,-0.0317,-0.0372
,(0.0288),(0.0336),(0.0279),(0.0345)
size,3.3912***,3.3912***,3.4785***,3.4427***
,(0.0643),(0.0888),(0.1440),(0.2256)
SA,0.0173,0.0173,-0.1109,-0.1547
,(0.0235),(0.0258),(0.0853),(0.1021)
lev,11.1963,11.1963,-28.4076***,-28.8428**
,(7.8072),(8.9450),(10.2614),(13.4429)
roa,0.2052**,0.2052,0.0032,0.0183
,(0.0872),(0.1403),(0.0789),(0.1303)
ZScore,-0.0027,-0.0027,-0.0055***,-0.0061***
,(0.0017),(0.0017),(0.0015),(0.0012)
tobinq,0.0086,0.0086,0.0193***,0.0214***
,(0.0066),(0.0090),(0.0055),(0.0056)
degree,0.0474***,0.0474***,0.0000,0.0000
,(0.0154),(0.0117),(.),(.)
N,9900,9900,9809,8855
Adj-R2,0.7554,0.7554,0.8810,0.8826
Standard errors in parentheses,,,,
"=""* p<0.1", ** p<0.05," *** p<0.01""",,
